Date,BOP: EU27 excl UK (EU27E): Current Account (CA)
1999-03-01,-8190
1999-06-01,24730
1999-09-01,4060
1999-12-01,-6320
2000-03-01,-18560
2000-06-01,5470
2000-09-01,-9430
2000-12-01,-10680
2001-03-01,-22380
2001-06-01,-12460
2001-09-01,-5190
2001-12-01,9290
2002-03-01,990
2002-06-01,-9310
2002-09-01,14700
2002-12-01,4110
2003-03-01,-14680
2003-06-01,710
2003-09-01,14480
2003-12-01,7370
2004-03-01,4190
2004-06-01,12910
2004-09-01,15090
2004-12-01,16270
2005-03-01,-240
2005-06-01,4410
2005-09-01,3360
2005-12-01,-4380
2006-03-01,-14420
2006-06-01,-14570
2006-09-01,320
2006-12-01,1080
2007-03-01,-17160
2007-06-01,5350
2007-09-01,-2180
2007-12-01,-8560
2008-03-01,-42050
2008-06-01,-49620
2008-09-01,-33530
2008-12-01,-31240
2009-03-01,-13780
2009-06-01,-1710
2009-09-01,30560
2009-12-01,17790
2010-03-01,10150
2010-06-01,-2920
2010-09-01,33220
2010-12-01,24160
2011-03-01,-210
2011-06-01,540
2011-09-01,32270
2011-12-01,39930
2012-03-01,16340
2012-06-01,39900
2012-09-01,67950
2012-12-01,67540
2013-03-01,53790
2013-06-01,67930
2013-09-01,85180
2013-12-01,81520
2014-03-01,54130
2014-06-01,46630
2014-09-01,86970
2014-12-01,104050
2015-03-01,84250
2015-06-01,49820
2015-09-01,104700
2015-12-01,108680
2016-03-01,82990
2016-06-01,93030
2016-09-01,119430
2016-12-01,107020
2017-03-01,83410
2017-06-01,51960
2017-09-01,134820
2017-12-01,126120
2018-03-01,92940
2018-06-01,76190
2018-09-01,110400
2018-12-01,86760
2019-03-01,102570
2019-06-01,49420
2019-09-01,139730
2019-12-01,50860
2020-03-01,19440
2020-06-01,54190
2020-09-01,100470
2020-12-01,119280
2021-03-01,118970
2021-06-01,112330
2021-09-01,114150
2021-12-01,63910
2022-03-01,3370
2022-06-01,-26060
2022-09-01,-34380
2022-12-01,-4770
2023-03-01,43720
2023-06-01,77030