DATE,IEABCN
1999-01-01,-52413
1999-04-01,-67691
1999-07-01,-86705
1999-10-01,-79803
2000-01-01,-84582
2000-04-01,-96101
2000-07-01,-114961
2000-10-01,-106274
2001-01-01,-96459
2001-04-01,-95126
2001-07-01,-113956
2001-10-01,-88542
2002-01-01,-90446
2002-04-01,-114319
2002-07-01,-127721
2002-10-01,-123624
2003-01-01,-123413
2003-04-01,-128393
2003-07-01,-143198
2003-10-01,-127285
2004-01-01,-125763
2004-04-01,-156346
2004-07-01,-174152
2004-10-01,-179628
2005-01-01,-155177
2005-04-01,-182096
2005-07-01,-203332
2005-10-01,-208627
2006-01-01,-183712
2006-04-01,-206888
2006-07-01,-235074
2006-10-01,-190972
2007-01-01,-183935
2007-04-01,-192345
2007-07-01,-191124
2007-10-01,-169146
2008-01-01,-160406
2008-04-01,-180278
2008-07-01,-202885
2008-10-01,-152953
2009-01-01,-83677
2009-04-01,-87628
2009-07-01,-111198
2009-10-01,-97226
2010-01-01,-86832
2010-04-01,-114042
2010-07-01,-133304
2010-10-01,-97832
2011-01-01,-100116
2011-04-01,-122626
2011-07-01,-128343
2011-10-01,-104217
2012-01-01,-96194
2012-04-01,-116799
2012-07-01,-117852
2012-10-01,-87336
2013-01-01,-73402
2013-04-01,-92852
2013-07-01,-104068
2013-10-01,-69195
2014-01-01,-72050
2014-04-01,-92523
2014-07-01,-107509
2014-10-01,-97974
2015-01-01,-84864
2015-04-01,-103115
2015-07-01,-123306
2015-10-01,-97168
2016-01-01,-91923
2016-04-01,-101919
2016-07-01,-113605
2016-10-01,-88769
2017-01-01,-71122
2017-04-01,-107374
2017-07-01,-99827
2017-10-01,-89293
2018-01-01,-78891
2018-04-01,-96831
2018-07-01,-133695
2018-10-01,-130432
2019-01-01,-94989
2019-04-01,-119257
2019-07-01,-129815
2019-10-01,-97691
2020-01-01,-85781
2020-04-01,-147907
2020-07-01,-184637
2020-10-01,-178815
2021-01-01,-151452
2021-04-01,-202918
2021-07-01,-252003
2021-10-01,-225071
2022-01-01,-254433
2022-04-01,-258277
2022-07-01,-254574
2022-10-01,-204311
2023-01-01,-189744
2023-04-01,-218801